pid,mu,sigma
0.0,1377.1915012568904,235.60887841208836
1.0,1132.2992819904955,163.69736274429226
2.0,764.05600287057052,168.16412022217898
3.0,446.22827739752648,207.32732334302983
4.0,1134.5336680184057,374.03525626425761
5.0,681.17969952725866,257.71692926279411
6.0,1328.3884561652494,415.6024075579121
7.0,1255.0275510231313,402.57232104120578
8.0,1353.0661001447104,95.834358057383213
9.0,1235.216342137538,334.79623911927314
10.0,943.41709947580807,164.47169850312827
11.0,1439.1940719603656,127.38853840550499
12.0,1821.8764704679108,92.056870569240502
13.0,1511.8363052679069,288.93078170713954
14.0,773.23975756899858,283.24284508365395
15.0,1221.4212070952419,219.94212856616647
16.0,715.84779443735897,297.11095335991405
17.0,1469.2397480179936,167.16472463117915
18.0,1011.0005500458391,112.46543438865571
19.0,1297.6279597426885,406.75574675037842
20.0,1296.2414748017604,431.87541649573512
21.0,1642.0765802145056,251.16922771770246
22.0,630.81905377772148,259.61111525628252
23.0,1592.9562821129784,445.23259646382212
24.0,836.03085360947057,281.21064946311503
25.0,1045.3733435296658,220.44870872094668
26.0,1561.4914868451731,297.77731842795748
27.0,772.74022414747822,137.85444097257911
28.0,1430.0258399294185,177.32758988435634
29.0,1539.4551635103949,182.72272347767452
30.0,1692.0553339505745,90.681286053563269
31.0,2075.1066175649557,91.805520459775863
32.0,1237.1288826465268,391.88621996119207
33.0,1839.0975687464479,288.19647043515556
34.0,1270.7737910038968,188.92897923827343
35.0,1240.2832687999908,430.02370744523364
36.0,1148.9108598297244,307.53568125476545
37.0,1239.4318500989932,125.84935197604177
38.0,1135.8543030782459,372.20710975685347
39.0,1861.7959649185786,236.53866537121129
40.0,1817.7016968710273,97.217473357743287
41.0,952.25490399905368,348.38213884209057
42.0,1369.4425982760056,429.05646707522419
43.0,1868.6393916394848,92.776342492161916
44.0,654.86047483267987,121.03692511285058
45.0,1442.6746777477495,307.78328182151125
46.0,1185.5301621900433,214.3018357574681
47.0,1269.3944483895521,399.49158608366133
48.0,916.62652473892479,159.02534333310763
49.0,1571.3551926068533,97.232298560026663
50.0,750.5328538397373,331.91266325734483
51.0,1740.1911339232574,93.521050469831167
52.0,1551.3968331997398,235.18800317784775
53.0,1520.2365796508727,333.49594948225143
54.0,1240.2832687999908,430.02370744523364
55.0,1500.0,500.0
56.0,1583.0178692883132,181.92284611467952
57.0,1451.7656074329791,313.85854305424181
58.0,1274.6866248057213,400.83590400100098
59.0,953.55156811567599,307.94395392090109
60.0,1100.9622413727839,366.72167845865425
61.0,759.2365296496489,115.66066920638617
62.0,1279.4653901158606,408.78217915594513
63.0,1251.75702481856,90.818756970231533
64.0,1150.0864224913255,180.33488986247585
65.0,1066.1358784645331,361.80173162859217
66.0,1649.4365790626771,125.45895126516422
67.0,1661.48615464882,237.4815433330632
68.0,1041.3253715573387,322.83896538006996
69.0,1205.4518718756831,97.42120378480287
70.0,1686.156004740581,415.29772140334109
71.0,646.05074019321205,279.50030796460919
72.0,2042.5610564299507,89.997282162509052
73.0,1263.8413810657844,192.56252980727587
74.0,571.83988477918467,160.25499579671848
75.0,2053.0407986824575,293.36310472168111
76.0,1017.7420371810865,190.94240326341577
77.0,1428.8916290601489,191.09077812693758
78.0,1352.9400455876678,292.04165886894907
79.0,1500.0,500.0
80.0,1581.3905231311571,90.830303336184514
81.0,1332.0835069298764,285.30552913042936
82.0,1035.6175563757615,166.02088513465861
83.0,668.81244635735345,271.42660791120721
84.0,993.03766481555317,332.21190765369312
85.0,1143.88152299648,345.68794730568158
86.0,780.57777266236519,197.23441411845869
87.0,990.03147570564192,372.62975533364283
88.0,1271.2317109153691,313.32884513851764
89.0,875.59483998973178,303.46860364302586
90.0,1015.6180690451801,171.36041312504798
91.0,945.70081953537181,282.60755709902236
92.0,820.20019993168319,253.26583733443795
93.0,1334.7929893040525,417.57553169986176
94.0,1126.604132287458,249.92453466405632
95.0,1742.6972359107581,94.42203388587383
96.0,845.7851025487164,274.13034260310309
97.0,1416.3440287713026,164.44288073418136
98.0,1580.8726881249831,256.4020244692768
99.0,1130.8027075262951,234.28808783363846
100.0,1329.3070965466427,220.85093208007021
101.0,1228.9846016297927,390.07032685682134
102.0,1154.4307392371254,151.64961667038781
103.0,1052.1621009072978,325.65519895519844
104.0,1744.9812165494914,364.14629659643873
105.0,1830.3487347855403,95.205834195713095
106.0,1217.7069466220348,91.406401110812197
107.0,1730.2346667623792,90.309256808415483
108.0,966.9004930586467,279.13170994983841
109.0,1280.9534219679322,126.07470294336144
110.0,1512.4475398063053,229.26286093615556
111.0,1158.0830839824598,111.39271261442437
112.0,1000.7673098756968,340.46634989974604
113.0,1095.6090537152961,365.86427260403656
114.0,1500.0,500.0
115.0,1419.9460684342887,92.260731634565289
116.0,1371.2686492793382,248.18116124143276
117.0,1057.8101543883297,345.13768210651983
118.0,754.10899094163221,201.97330611215534
119.0,794.92216364757405,250.34657453599772
120.0,1190.4808283032737,382.16166571041907
121.0,773.17655460153901,212.05551544035185
122.0,1903.6671880888082,366.11444151517418
123.0,934.19912009965901,158.05406144312931
124.0,996.24150892546641,212.93383016207073
125.0,979.21751978706311,149.14462682698883
126.0,2436.4763662171549,92.236541287871106
127.0,988.77746344463219,144.52211736217782
128.0,1386.7212742827587,101.6095529704661
129.0,1910.8922705608281,197.59545532112929
130.0,757.37618688931059,168.60181824509766
131.0,1179.3859317647664,146.451724521046
132.0,1500.0,500.0
133.0,1667.6499603821208,120.07454073547237
134.0,1383.0557726333423,92.542036772419934
135.0,1295.2637500190308,214.3954808221693
136.0,771.51575758832166,322.10823422086071
137.0,1322.4598457169072,414.02705516198949
138.0,1222.6758708993934,365.22692277134979
139.0,1659.8610968814323,91.326623638557038
140.0,1901.6919814448916,91.739731395716191
141.0,1586.6476750248985,140.37731463064719
142.0,1349.8977396026967,255.76248338666312
143.0,1306.439094645455,409.32032368469493
144.0,1337.1871235750327,218.52193940334266
145.0,981.55094958805103,292.05785773115633
146.0,1339.1920960987586,342.61032701186525
147.0,1121.1165386886398,342.07207381291414
148.0,1253.4806454380796,395.59281407734187
149.0,2159.6912197699103,265.65378740396767
150.0,1119.1174350580297,264.02635835051348
151.0,962.09546868854773,349.01322872106465
152.0,934.20911059590185,282.80017611577574
153.0,1616.3919850303614,434.33396721665792
154.0,1170.5665604441062,103.73627821376948
155.0,650.935590449453,283.96618988727153
156.0,1256.7761666704,133.21881965234047
157.0,1500.0,500.0
158.0,1193.6260998443342,382.77845382165981
159.0,1240.2832687999908,430.02370744523364
160.0,1155.577005990511,375.86908751526761
161.0,1660.1585204719136,287.6759510463192
162.0,1491.9885441255813,202.89433467469973
163.0,1580.5889235894858,109.34007434902608
164.0,733.59220715828417,330.47425865915739
165.0,1511.8860563662686,196.85473428627145
166.0,1401.890088845541,203.92477160815733
167.0,956.61476278446332,267.68277180419761
168.0,1317.1299905909029,162.91378201305866
169.0,1606.8480619175314,278.53673637261403
170.0,1305.4790526726445,408.94138340546135
171.0,808.47251115232439,193.44338259179207
172.0,1150.4825057226005,221.50367000191505
173.0,1032.1463345883751,324.3005793163104
174.0,1464.297002048851,198.47848934787507
175.0,1513.8763597381576,364.03802892090886
176.0,1376.8898852156374,359.79886714422196
177.0,1068.1607480790167,90.01033738606138
178.0,1738.8120131328508,386.94307279373373
179.0,1149.0911587447349,348.05236904998566
180.0,1149.9016837252061,408.63366007960076
181.0,712.25194216157922,260.10114273762088
182.0,1544.5266341186064,92.191198823694748
183.0,1828.9455815628669,364.50526406940008
184.0,741.30029912455802,224.17021338592258
185.0,1507.0552335860311,136.61592140027923
186.0,1500.0,500.0
187.0,1434.1072099662531,320.60070650142541
188.0,1500.0,500.0
189.0,1469.480800209549,113.54913316817709
190.0,1679.3058139310447,103.51141497010217
191.0,1494.5269079841864,92.479908213174269
192.0,1525.2885198951051,92.507417915894962
193.0,853.54928514417884,296.65460815706132
194.0,1761.2013175109378,286.92155907859984
195.0,1830.9042811637903,90.607725784063817
196.0,732.82432236816567,258.21634590297629
197.0,1271.3969961651621,399.98070078031037
198.0,742.03848974644166,288.18324913769345
199.0,971.13403468527758,150.10146251239527
200.0,1750.5929531198035,94.733188200853036
201.0,951.00148765103881,349.26352832658949
202.0,1408.3137926138909,400.78056351964483
203.0,977.03875259608333,350.49155147576982
204.0,1476.4303659614168,191.85677745552923
205.0,856.42793259063149,312.46180659445798
206.0,830.21424490190338,279.44563292759238
207.0,1166.1874551975341,253.43489327372501
208.0,1670.5631097181206,332.94103756138679
209.0,1026.7351541345317,358.34783349848965
210.0,1275.2917754581665,401.57529822273642
211.0,883.89190321546289,313.79950642249582
212.0,1307.0867109474325,258.71148860977786
213.0,1692.4556148989748,427.52064749712827
214.0,1025.3737332271246,167.57024731184981
215.0,1516.2831443021123,332.47032251056754
216.0,518.95018538464944,223.77094188889427
217.0,1643.923453848224,121.17939665746778
218.0,1125.3331938965318,115.90113602029554
219.0,755.22768670619428,232.00322656288446
220.0,1500.3105510157914,119.75832807361458
221.0,1500.0,500.0
222.0,1500.0,500.0
